,Unnamed: 0,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Min_salary,Max_salary,Average_salary,State
2677,2698,Data Engineer,"['49', '-', '92', '(Glassdoor', 'est.)']",3.9,"Jnit Technologies
3.9","Plano, TX",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),49,92,70.5,TX
2678,2699,"Principal Research Scientist/ Statistician, Real World Evidence/ Late Phase","['49', '-', '92', '(Glassdoor', 'est.)']",4.0,"CTI Clinical Trial Services, Inc
4.0","Dallas, TX",501 to 1000 employees,1999,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,49,92,70.5,TX
2679,2700,Big Data Engineer,"['49', '-', '92', '(Glassdoor', 'est.)']",4.4,"Tachyon Technologies LLC
4.4","Irving, TX",201 to 500 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),49,92,70.5,TX
2680,2701,Senior Data Engineer,"['49', '-', '92', '(Glassdoor', 'est.)']",4.1,"Federal Reserve Bank of Dallas
4.1","Dallas, TX",1001 to 5000 employees,1914,Company - Public,Banks & Credit Unions,Finance,Unknown / Non-Applicable,49,92,70.5,TX
2681,2702,Senior Data Analyst,"['49', '-', '92', '(Glassdoor', 'est.)']",3.8,"Excite Health Partners
3.8","Dallas, TX",51 to 200 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,49,92,70.5,TX
2682,2703,Sr. Data Analyst - Healthcare Claims,"['49', '-', '92', '(Glassdoor', 'est.)']",4.2,"Horn Solutions Inc.
4.2","Dallas, TX",1 to 50 employees,2008,Company - Private,Consulting,Business Services,$50 to $100 million (USD),49,92,70.5,TX
2683,2704,Big Data Engineer,"['49', '-', '92', '(Glassdoor', 'est.)']",4.6,"Tiger Analytics
4.6","Dallas, TX",201 to 500 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),49,92,70.5,TX
2685,2706,SAP Data Analyst (Contract),"['85', '-', '147', '(Glassdoor', 'est.)']",4.0,"Two95 International Inc.
4.0","Irving, TX",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),85,147,116.0,TX
2686,2707,Big Data Engineer,"['85', '-', '147', '(Glassdoor', 'est.)']",3.8,"Tata Consultancy Services
3.8","Irving, TX",10000+ employees,1968,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),85,147,116.0,TX
2687,2708,Environmental Scientist I,"['85', '-', '147', '(Glassdoor', 'est.)']",2.8,"Trinity River Authority of Texas
2.8","Arlington, TX",201 to 500 employees,1955,Government,Utilities,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,85,147,116.0,TX
2688,2709,Accounting/Data Analyst Associate,"['85', '-', '147', '(Glassdoor', 'est.)']",3.7,"Bloomfield Homes
3.7","Southlake, TX",1 to 50 employees,-1,Subsidiary or Business Segment,Construction,"Construction, Repair & Maintenance",$100 to $500 million (USD),85,147,116.0,TX
2690,2711,Data Analyst - Marketing,"['85', '-', '147', '(Glassdoor', 'est.)']",3.7,"Fairway Independent Mortgage Corporation
3.7","Carrollton, TX",5001 to 10000 employees,1996,Company - Private,Lending,Finance,$10+ billion (USD),85,147,116.0,TX
2691,2712,Senior Data Analyst,"['85', '-', '147', '(Glassdoor', 'est.)']",3.4,"Home Point Financial
3.4","Farmers Branch, TX",1001 to 5000 employees,2015,Company - Private,Lending,Finance,Unknown / Non-Applicable,85,147,116.0,TX
2692,2713,CIMD Technology - Data Engineer,"['85', '-', '147', '(Glassdoor', 'est.)']",4.0,"Goldman Sachs
4.0","Richardson, TX",10000+ employees,1869,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),85,147,116.0,TX
2693,2714,Technology Data Engineer,"['85', '-', '147', '(Glassdoor', 'est.)']",4.0,"Goldman Sachs
4.0","Richardson, TX",10000+ employees,1869,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),85,147,116.0,TX
2694,2715,Data Engineer,"['85', '-', '147', '(Glassdoor', 'est.)']",3.3,"loanDepot
3.3","Plano, TX",5001 to 10000 employees,2010,Company - Private,Lending,Finance,$1 to $2 billion (USD),85,147,116.0,TX
2695,2716,Data Analyst -0517 Suv,"['45', '-', '78', '(Glassdoor', 'est.)']",3.8,"Vastika
3.8","Irving, TX",1 to 50 employees,-1,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Less than $1 million (USD),45,78,61.5,TX
2696,2717,Pricing Data Analyst,"['45', '-', '78', '(Glassdoor', 'est.)']",4.1,"Kforce
4.1","Plano, TX",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),45,78,61.5,TX
2697,2718,BioAnalytical Scientist II,"['45', '-', '78', '(Glassdoor', 'est.)']",3.6,"MilliporeSigma
3.6","Bedford, TX",10000+ employees,2014,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,45,78,61.5,TX
2698,2719,Sr. Analytics Consultant,"['45', '-', '78', '(Glassdoor', 'est.)']",3.4,"Kelly
3.4","Richardson, TX",5001 to 10000 employees,1946,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),45,78,61.5,TX
2700,2721,US|Prod Dev Scientist-Contractor,"['45', '-', '78', '(Glassdoor', 'est.)']",3.7,"CES Limited
3.7","Plano, TX",51 to 200 employees,2013,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),45,78,61.5,TX
2701,2722,Korean Bilingual Data Engineer,"['45', '-', '78', '(Glassdoor', 'est.)']",1.9,"MOA
1.9","Coppell, TX",51 to 200 employees,1997,Unknown,-1,-1,Unknown / Non-Applicable,45,78,61.5,TX
2702,2723,Big Data Engineer,"['45', '-', '78', '(Glassdoor', 'est.)']",3.4,"Ksquare Solutions INC.
3.4","Dallas, TX",51 to 200 employees,2007,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,45,78,61.5,TX
2703,2724,"Developer, Data Engineer - Big Data-Hadoop","['45', '-', '78', '(Glassdoor', 'est.)']",4.6,"OTSI
4.6","Irving, TX",1 to 50 employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),45,78,61.5,TX
2704,2725,Data Engineer,"['45', '-', '78', '(Glassdoor', 'est.)']",3.0,"Photon Infotech
3.0","Irving, TX",1001 to 5000 employees,1999,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),45,78,61.5,TX
2705,2726,Data Engineer/Analyst,"['45', '-', '78', '(Glassdoor', 'est.)']",3.2,"Net2Source
3.2","Coppell, TX",1001 to 5000 employees,2007,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),45,78,61.5,TX
2707,2728,Big Data / Hadoop Engineer,"['45', '-', '78', '(Glassdoor', 'est.)']",4.0,"Object Technology Solutions, Inc.
4.0","Irving, TX",51 to 200 employees,1999,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),45,78,61.5,TX
2708,2729,Data Engineer (Big Data Hadoop),"['45', '-', '78', '(Glassdoor', 'est.)']",4.0,"Object Technology Solutions, Inc.
4.0","Irving, TX",51 to 200 employees,1999,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),45,78,61.5,TX
2709,2730,Research Scientist III,"['45', '-', '78', '(Glassdoor', 'est.)']",4.2,"University of Texas at Arlington
4.2","Arlington, TX",1001 to 5000 employees,1967,College / University,Colleges & Universities,Education,$100 to $500 million (USD),45,78,61.5,TX
2710,2731,Performance Assurance Engineer (Data Science Background),"['45', '-', '78', '(Glassdoor', 'est.)']",3.2,"GTA
3.2","Dallas, TX",501 to 1000 employees,-1,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,45,78,61.5,TX
2711,2732,Sr. Data Engineer,"['45', '-', '78', '(Glassdoor', 'est.)']",3.9,"Amazon
3.9","Dallas, TX",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),45,78,61.5,TX
2712,2733,Machine Learning /Data Engineer,"['45', '-', '78', '(Glassdoor', 'est.)']",2.6,"InfoWay Solutions LLC
2.6","Dallas, TX",1 to 50 employees,-1,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,45,78,61.5,TX
2713,2734,Big Data Administrator/Developer,"['45', '-', '78', '(Glassdoor', 'est.)']",4.4,"The Brixton Group, Inc.
4.4","Irving, TX",51 to 200 employees,1998,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,45,78,61.5,TX
2714,2735,Behavorial Health Data Analyst,"['45', '-', '78', '(Glassdoor', 'est.)']",3.5,"LifePath Systems
3.5","Plano, TX",51 to 200 employees,-1,Government,-1,-1,Unknown / Non-Applicable,45,78,61.5,TX
2716,2737,Senior Data Analyst,"['48', '-', '89', '(Glassdoor', 'est.)']",3.5,"Analytical Mechanics Associates
3.5","Dallas, TX",201 to 500 employees,1962,Company - Private,Consulting,Business Services,$10 to $25 million (USD),48,89,68.5,TX
2717,2738,Sr. Business Data Analyst Enterprise Risk,"['48', '-', '89', '(Glassdoor', 'est.)']",2.5,"ServiceLink
2.5","Dallas, TX",1001 to 5000 employees,1967,Subsidiary or Business Segment,Lending,Finance,$500 million to $1 billion (USD),48,89,68.5,TX
2718,2739,"Data Engineer (Python), Dallas, Methods+Mastery (a FleishmanHillard Company)","['48', '-', '89', '(Glassdoor', 'est.)']",3.3,"FleishmanHillard
3.3","Dallas, TX",1001 to 5000 employees,1946,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,48,89,68.5,TX
2719,2740,Big Data/Machine Learning Engineer - Sr,"['48', '-', '89', '(Glassdoor', 'est.)']",3.8,"Apex Systems
3.8","Plano, TX",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),48,89,68.5,TX
2720,2741,Data Analyst: II (Intermediate),"['48', '-', '89', '(Glassdoor', 'est.)']",4.4,"Ava Consulting
4.4","Irving, TX",1 to 50 employees,-1,Company - Public,IT Services,Information Technology,Less than $1 million (USD),48,89,68.5,TX
2721,2742,"Business Applications, Infor Analytics Consultant","['48', '-', '89', '(Glassdoor', 'est.)']",3.7,"Grant Thornton
3.7","Dallas, TX",5001 to 10000 employees,1924,Company - Private,Accounting,Accounting & Legal,$1 to $2 billion (USD),48,89,68.5,TX
2722,2743,Machine Learning Engineer (TX),"['48', '-', '89', '(Glassdoor', 'est.)']",4.6,"Tiger Analytics
4.6","Dallas, TX",201 to 500 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),48,89,68.5,TX
2723,2744,Job Role : Data Engineer/Machine learning,"['48', '-', '89', '(Glassdoor', 'est.)']",2.6,"InfoWay Solutions LLC
2.6","Dallas, TX",1 to 50 employees,-1,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,48,89,68.5,TX
2726,2747,"Remote Senior Software Engineer, Data","['48', '-', '89', '(Glassdoor', 'est.)']",4.3,"Lob
4.3","Dallas, TX",1 to 50 employees,2013,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),48,89,68.5,TX
2727,2748,Principal Scientist Product Formulation,"['48', '-', '89', '(Glassdoor', 'est.)']",3.9,"Mary Kay
3.9","Lewisville, TX",5001 to 10000 employees,1963,Company - Private,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),48,89,68.5,TX
2728,2749,Research Engineering Scientist,"['48', '-', '89', '(Glassdoor', 'est.)']",4.2,"University of Texas at Arlington
4.2","Arlington, TX",1001 to 5000 employees,1967,College / University,Colleges & Universities,Education,$100 to $500 million (USD),48,89,68.5,TX
2729,2750,SQL Server Data Modeler/Lead/Architect,"['48', '-', '89', '(Glassdoor', 'est.)']",3.0,"EdvenSoft Solutions LLC
3.0","Dallas, TX",1 to 50 employees,-1,Company - Public,-1,-1,$1 to $5 million (USD),48,89,68.5,TX
2730,2751,Python/SQL Data Engineer,"['48', '-', '89', '(Glassdoor', 'est.)']",3.3,"YOH
3.3","Dallas, TX",1001 to 5000 employees,1940,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),48,89,68.5,TX
2731,2752,"Quantitative Researcher - Concentration Risk Analytics (VP, TX)","['48', '-', '89', '(Glassdoor', 'est.)']",3.7,"Citi
3.7","Irving, TX",10000+ employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),48,89,68.5,TX
2732,2753,"Director Translational Scientist Liaisons (Dallas, TX)","['48', '-', '89', '(Glassdoor', 'est.)']",2.9,"Caris Life Sciences
2.9","Dallas, TX",201 to 500 employees,-1,Company - Private,Research & Development,Business Services,$50 to $100 million (USD),48,89,68.5,TX
2733,2754,Performance Assurance Engineer (Data Science Background),"['48', '-', '89', '(Glassdoor', 'est.)']",3.8,"Global Technology Associates
3.8","Dallas, TX",201 to 500 employees,-1,Contract,IT Services,Information Technology,$25 to $50 million (USD),48,89,68.5,TX
2734,2755,Senior Business Intelligence Analyst,"['48', '-', '89', '(Glassdoor', 'est.)']",3.7,"Riskonnect
3.7","Dallas, TX",201 to 500 employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),48,89,68.5,TX
2735,2756,Adobe Analytics Consultant,"['48', '-', '89', '(Glassdoor', 'est.)']",3.5,"CGI
3.5","Dallas, TX",10000+ employees,1976,Company - Public,Consulting,Business Services,$10+ billion (USD),48,89,68.5,TX
2736,2757,"Sr. Data Engineer (OPT EAD, GC, GC EAD, USC and TN)","['48', '-', '89', '(Glassdoor', 'est.)']",5.0,"EITAcies, Inc.
5.0","Irving, TX",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),48,89,68.5,TX
2737,2758,Director - Translational Scientist Liaisons,"['48', '-', '89', '(Glassdoor', 'est.)']",2.9,"Caris Life Sciences
2.9","Dallas, TX",201 to 500 employees,-1,Company - Private,Research & Development,Business Services,$50 to $100 million (USD),48,89,68.5,TX
2738,2759,Sr. Business Data Analyst - Enterprise Risk,"['48', '-', '89', '(Glassdoor', 'est.)']",2.5,"ServiceLink, a Black Knight Company
2.5","Dallas, TX",1001 to 5000 employees,1967,Subsidiary or Business Segment,Lending,Finance,$500 million to $1 billion (USD),48,89,68.5,TX
2739,2760,Remote -Data Engineer,"['48', '-', '89', '(Glassdoor', 'est.)']",2.5,"nFolks Ltd
2.5","Plano, TX",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),48,89,68.5,TX
2740,2761,Role : Data Engineer,"['48', '-', '89', '(Glassdoor', 'est.)']",2.6,"InfoWay Solutions LLC
2.6","Dallas, TX",1 to 50 employees,-1,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,48,89,68.5,TX
2741,2762,Big Data Engineer,"['48', '-', '89', '(Glassdoor', 'est.)']",3.8,"Enterprise Solutions Inc
3.8","Irving, TX",51 to 200 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),48,89,68.5,TX
2742,2763,DATA ENGINEER - DALLAS,"['48', '-', '89', '(Glassdoor', 'est.)']",3.8,"YASMESOFT INC
3.8","Irving, TX",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),48,89,68.5,TX
2743,2764,DATA ENGINEER - DALLAS TEXAS,"['46', '-', '91', '(Glassdoor', 'est.)']",3.8,"YASMESOFT INC
3.8","Irving, TX",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),46,91,68.5,TX
2744,2765,Technical Data Analyst Accounting,"['46', '-', '91', '(Glassdoor', 'est.)']",3.7,"eTeam Inc.
3.7","Irving, TX",51 to 200 employees,1999,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),46,91,68.5,TX
2745,2766,Sr. Enterprise BI Data Analyst,"['46', '-', '91', '(Glassdoor', 'est.)']",3.0,"DJO
3.0","Dallas, TX",5001 to 10000 employees,1978,Subsidiary or Business Segment,Health Care Products Manufacturing,Manufacturing,$1 to $2 billion (USD),46,91,68.5,TX
2746,2767,Cloud Data Engineer,"['46', '-', '91', '(Glassdoor', 'est.)']",3.3,"Mr. Cooper
3.3","Lewisville, TX",5001 to 10000 employees,1994,Company - Public,Lending,Finance,$5 to $10 billion (USD),46,91,68.5,TX
2747,2768,Data Engineer,"['46', '-', '91', '(Glassdoor', 'est.)']",4.6,"HumCap, Inc.
4.6","Allen, TX",1 to 50 employees,2001,Company - Private,Consulting,Business Services,$1 to $5 million (USD),46,91,68.5,TX
2748,2769,"Regional Medical Scientist (RMS) - South Region (TX, OK, AR, LA)","['46', '-', '91', '(Glassdoor', 'est.)']",2.6,"Ascendis Pharma
2.6","Dallas, TX",51 to 200 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,46,91,68.5,TX
2749,2770,Principal Data Engineer,"['46', '-', '91', '(Glassdoor', 'est.)']",3.9,"Dealersocket
3.9","Dallas, TX",1001 to 5000 employees,2001,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),46,91,68.5,TX
2750,2771,Senior Business Intelligence Analyst,"['46', '-', '91', '(Glassdoor', 'est.)']",2.8,"Conduent
2.8","Dallas, TX",10000+ employees,2017,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,46,91,68.5,TX
2751,2772,"Scientist, Project Engineering","['46', '-', '91', '(Glassdoor', 'est.)']",3.4,"L3Harris
3.4","Plano, TX",10000+ employees,2019,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),46,91,68.5,TX
2752,2773,US|Prod Dev Scientist-Contractor,"['46', '-', '91', '(Glassdoor', 'est.)']",4.1,"V R Della Infotech Inc
4.1","Plano, TX",51 to 200 employees,2012,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),46,91,68.5,TX
2753,2774,Product Development Scientist,"['46', '-', '91', '(Glassdoor', 'est.)']",3.6,"Axelon Services Corporation
3.6","Plano, TX",501 to 1000 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),46,91,68.5,TX
2755,2776,AWS/Big Data Engineer,"['46', '-', '91', '(Glassdoor', 'est.)']",3.9,"IT Trailblazers
3.9","Dallas, TX",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$25 to $50 million (USD),46,91,68.5,TX
2756,2777,Data Science Sr. Analyst,"['46', '-', '91', '(Glassdoor', 'est.)']",4.5,"Radiant Digital
4.5","Dallas, TX",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),46,91,68.5,TX
2757,2778,Data Engineer,"['46', '-', '91', '(Glassdoor', 'est.)']",3.4,"DISYS
3.4","Plano, TX",1001 to 5000 employees,1994,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),46,91,68.5,TX
2758,2779,Full Stack Data Engineer Irving AVP/C12,"['46', '-', '91', '(Glassdoor', 'est.)']",3.7,"Citi
3.7","Irving, TX",10000+ employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),46,91,68.5,TX
2759,2780,Lead Consultant - Analytics Consulting,"['46', '-', '91', '(Glassdoor', 'est.)']",3.1,"Infosys
3.1","Richardson, TX",10000+ employees,1981,Company - Public,IT Services,Information Technology,$10+ billion (USD),46,91,68.5,TX
2760,2781,Sr. Data Modeler (Open API),"['46', '-', '91', '(Glassdoor', 'est.)']",3.7,"Cincinnati Bell Technology Solutions
3.7","Irving, TX",501 to 1000 employees,-1,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),46,91,68.5,TX
2761,2782,Data Modeler / Data Architect,"['46', '-', '91', '(Glassdoor', 'est.)']",4.0,"Kairos Technologies
4.0","Dallas, TX",51 to 200 employees,2003,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),46,91,68.5,TX
2762,2783,Senior Machine Learning Engineer,"['46', '-', '91', '(Glassdoor', 'est.)']",3.6,"Toyota Connected
3.6","Plano, TX",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,46,91,68.5,TX
2763,2784,Product Development Scientist/ Product development specialist,"['46', '-', '91', '(Glassdoor', 'est.)']",3.7,"Infotree Service Inc
3.7","Plano, TX",51 to 200 employees,2004,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),46,91,68.5,TX
2764,2785,Product Development Scientist,"['46', '-', '91', '(Glassdoor', 'est.)']",4.1,"Noor Staffing
4.1","Plano, TX",51 to 200 employees,2015,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,46,91,68.5,TX
2767,2788,Application Vulnerability Governance Lead Data Analyst,"['46', '-', '91', '(Glassdoor', 'est.)']",3.7,"Citi
3.7","Irving, TX",10000+ employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),46,91,68.5,TX
2769,2790,Big Data Engineer,"['46', '-', '91', '(Glassdoor', 'est.)']",3.7,"Tata Consultancy Services (North America)
3.7","Irving, TX",10000+ employees,1968,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),46,91,68.5,TX
2770,2791,Big Data/Machine Learning Engineer,"['46', '-', '91', '(Glassdoor', 'est.)']",3.6,"Signature Consultants
3.6","Plano, TX",1001 to 5000 employees,1997,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),46,91,68.5,TX
2771,2792,Senior Data Engineer,"['46', '-', '91', '(Glassdoor', 'est.)']",3.7,"Federal Reserve Bank
3.7","Dallas, TX",1001 to 5000 employees,1914,Company - Private,Financial Analytics & Research,Finance,$10+ billion (USD),46,91,68.5,TX
2772,2793,"Quantitative Researcher - Concentration Risk Analytics (VP, TX)","['46', '-', '91', '(Glassdoor', 'est.)']",3.5,"Citibank
3.5","Irving, TX",5001 to 10000 employees,-1,Subsidiary or Business Segment,Lending,Finance,$50 to $100 million (USD),46,91,68.5,TX
2773,2794,Data Engineer,"['73', '-', '102', '(Glassdoor', 'est.)']",5.0,"Georgia IT Inc.
5.0","Plano, TX",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),73,102,87.5,TX
2774,2795,Sr. Data Engineer - Dive Into Big Data & Get Plenty of PTO,"['73', '-', '102', '(Glassdoor', 'est.)']",2.8,"Camden Kelly Corporation
2.8","Dallas, TX",1 to 50 employees,2013,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,73,102,87.5,TX
2775,2796,Data Engineer/Tableau/Alteryx,"['73', '-', '102', '(Glassdoor', 'est.)']",3.3,"Interstate Battery System of America Inc
3.3","Dallas, TX",1001 to 5000 employees,1950,Company - Private,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD),73,102,87.5,TX
2776,2797,Manager of Data Science/Analytics,"['73', '-', '102', '(Glassdoor', 'est.)']",3.1,"Production Resource Group
3.1","Dallas, TX",1001 to 5000 employees,1995,Company - Private,Audiovisual,"Arts, Entertainment & Recreation",$100 to $500 million (USD),73,102,87.5,TX
2777,2798,Data Engineer - Remote,"['73', '-', '102', '(Glassdoor', 'est.)']",5.0,"Georgia IT Inc.
5.0","Plano, TX",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),73,102,87.5,TX
2778,2799,Sr Data Engineer Hadoop,"['73', '-', '102', '(Glassdoor', 'est.)']",3.4,"NTT DATA
3.4","Irving, TX",10000+ employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),73,102,87.5,TX
2779,2800,(Senior) Data Engineer,"['73', '-', '102', '(Glassdoor', 'est.)']",4.3,"Boston Consulting Group
4.3","Dallas, TX",10000+ employees,1963,Company - Private,Consulting,Business Services,$5 to $10 million (USD),73,102,87.5,TX
2780,2801,Sr. BI Data Engineer and Analyst,"['73', '-', '102', '(Glassdoor', 'est.)']",3.6,"Onyx CenterSource
3.6","Dallas, TX",201 to 500 employees,2013,Company - Private,Financial Transaction Processing,Finance,$50 to $100 million (USD),73,102,87.5,TX
2781,2802,Data Engineer,"['73', '-', '102', '(Glassdoor', 'est.)']",3.5,"Tek Leaders
3.5","Plano, TX",501 to 1000 employees,2016,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),73,102,87.5,TX
2782,2803,Data Engineer,"['73', '-', '102', '(Glassdoor', 'est.)']",3.9,"Diverse Lynx
3.9","Plano, TX",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),73,102,87.5,TX
2783,2804,Senior Data Architect,"['73', '-', '102', '(Glassdoor', 'est.)']",5.0,"Staff Perm
5.0","Irving, TX",1 to 50 employees,2013,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),73,102,87.5,TX
2784,2805,"Senior Principal, Quantitative Researcher - Sales","['73', '-', '102', '(Glassdoor', 'est.)']",3.6,"Gartner
3.6","Arlington, TX",10000+ employees,1979,Company - Public,Consulting,Business Services,$2 to $5 billion (USD),73,102,87.5,TX
2785,2806,Data Engineer,"['73', '-', '102', '(Glassdoor', 'est.)']",4.4,"InfoVision
4.4","Plano, TX",1001 to 5000 employees,1995,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),73,102,87.5,TX
2786,2807,Data Engineer/ Big Data Engineer,"['73', '-', '102', '(Glassdoor', 'est.)']",5.0,"Eitacies
5.0","Irving, TX",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),73,102,87.5,TX
2787,2808,Development Analytics Manager,"['73', '-', '102', '(Glassdoor', 'est.)']",3.3,"Wingstop
3.3","Dallas, TX",51 to 200 employees,1994,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),73,102,87.5,TX
2788,2809,Federal - Data Engineer - Senior,"['73', '-', '102', '(Glassdoor', 'est.)']",4.2,"Solekai Systems Corp
4.2","Dallas, TX",1 to 50 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),73,102,87.5,TX
2789,2810,Hadoop Data Engineer,"['73', '-', '102', '(Glassdoor', 'est.)']",4.4,"Tachyon Technologies
4.4","Irving, TX",201 to 500 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),73,102,87.5,TX
2790,2811,Data Analyst - IT Administrator,"['73', '-', '102', '(Glassdoor', 'est.)']",3.3,"ClientSolv Technologies
3.3","Allen, TX",51 to 200 employees,1994,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),73,102,87.5,TX
2791,2812,CIB QR- Quantitative Research - Wholesale Credit Capital Modeling - Quantitative Developer - Vice Pr,"['73', '-', '102', '(Glassdoor', 'est.)']",3.9,"JPMorgan Chase & Co.
3.9","Plano, TX",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),73,102,87.5,TX
2792,2813,Product Development Scientist (Entry Level) (Food science Degree Must),"['73', '-', '102', '(Glassdoor', 'est.)']",4.1,"Della Infotech Inc.
4.1","Plano, TX",51 to 200 employees,2012,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),73,102,87.5,TX
2793,2814,Business Analytics Manager,"['73', '-', '102', '(Glassdoor', 'est.)']",3.9,"JPMorgan Chase Bank, N.A.
3.9","Plano, TX",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),73,102,87.5,TX
2794,2815,Big Data Engineer,"['73', '-', '102', '(Glassdoor', 'est.)']",3.9,"Horizontal Talent
3.9","Plano, TX",501 to 1000 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),73,102,87.5,TX
2795,2816,Application Vulnerability Governance Lead Data Analyst,"['73', '-', '102', '(Glassdoor', 'est.)']",3.5,"Citibank
3.5","Irving, TX",5001 to 10000 employees,-1,Subsidiary or Business Segment,Lending,Finance,$50 to $100 million (USD),73,102,87.5,TX
